date,date,value
1970-01-01 00:00:00.000000411,1990-03-01,128.7
1970-01-01 00:00:00.000000412,1990-02-01,128.0
1970-01-01 00:00:00.000000413,1990-01-01,127.4
1970-01-01 00:00:00.000000414,1989-12-01,126.1
1970-01-01 00:00:00.000000415,1989-11-01,125.9
1970-01-01 00:00:00.000000416,1989-10-01,125.6
1970-01-01 00:00:00.000000417,1989-09-01,125.0
1970-01-01 00:00:00.000000418,1989-08-01,124.6
1970-01-01 00:00:00.000000419,1989-07-01,124.4
1970-01-01 00:00:00.000000420,1989-06-01,124.1
1970-01-01 00:00:00.000000421,1989-05-01,123.8
1970-01-01 00:00:00.000000422,1989-04-01,123.1
1970-01-01 00:00:00.000000423,1989-03-01,122.3
1970-01-01 00:00:00.000000424,1989-02-01,121.6
1970-01-01 00:00:00.000000425,1989-01-01,121.1
1970-01-01 00:00:00.000000426,1988-12-01,120.5
1970-01-01 00:00:00.000000427,1988-11-01,120.3
1970-01-01 00:00:00.000000428,1988-10-01,120.2
1970-01-01 00:00:00.000000429,1988-09-01,119.8
1970-01-01 00:00:00.000000430,1988-08-01,119.0
1970-01-01 00:00:00.000000431,1988-07-01,118.5
1970-01-01 00:00:00.000000432,1988-06-01,118.0
1970-01-01 00:00:00.000000433,1988-05-01,117.5
1970-01-01 00:00:00.000000434,1988-04-01,117.1
1970-01-01 00:00:00.000000435,1988-03-01,116.5
1970-01-01 00:00:00.000000436,1988-02-01,116.0
1970-01-01 00:00:00.000000437,1988-01-01,115.7
1970-01-01 00:00:00.000000438,1987-12-01,115.4
1970-01-01 00:00:00.000000439,1987-11-01,115.4
1970-01-01 00:00:00.000000440,1987-10-01,115.3
1970-01-01 00:00:00.000000441,1987-09-01,115.0
1970-01-01 00:00:00.000000442,1987-08-01,114.4
1970-01-01 00:00:00.000000443,1987-07-01,113.8
1970-01-01 00:00:00.000000444,1987-06-01,113.5
1970-01-01 00:00:00.000000445,1987-05-01,113.1
1970-01-01 00:00:00.000000446,1987-04-01,112.7
1970-01-01 00:00:00.000000447,1987-03-01,112.1
1970-01-01 00:00:00.000000448,1987-02-01,111.6
1970-01-01 00:00:00.000000449,1987-01-01,111.2
1970-01-01 00:00:00.000000450,1986-12-01,110.5
1970-01-01 00:00:00.000000451,1986-11-01,110.4
1970-01-01 00:00:00.000000452,1986-10-01,110.3
1970-01-01 00:00:00.000000453,1986-09-01,110.2
1970-01-01 00:00:00.000000454,1986-08-01,109.7
