date,date,value
1970-01-01 00:00:00.000000474,1985-01-01,11.38
1970-01-01 00:00:00.000000475,1984-12-01,11.50
1970-01-01 00:00:00.000000476,1984-11-01,11.57
1970-01-01 00:00:00.000000477,1984-10-01,12.16
1970-01-01 00:00:00.000000478,1984-09-01,12.52
1970-01-01 00:00:00.000000479,1984-08-01,12.72
1970-01-01 00:00:00.000000480,1984-07-01,13.36
1970-01-01 00:00:00.000000481,1984-06-01,13.56
1970-01-01 00:00:00.000000482,1984-05-01,13.41
1970-01-01 00:00:00.000000483,1984-04-01,12.63
1970-01-01 00:00:00.000000484,1984-03-01,12.32
1970-01-01 00:00:00.000000485,1984-02-01,11.84
1970-01-01 00:00:00.000000486,1984-01-01,11.67
1970-01-01 00:00:00.000000487,1983-12-01,11.83
1970-01-01 00:00:00.000000488,1983-11-01,11.69
1970-01-01 00:00:00.000000489,1983-10-01,11.54
1970-01-01 00:00:00.000000490,1983-09-01,11.65
1970-01-01 00:00:00.000000491,1983-08-01,11.85
1970-01-01 00:00:00.000000492,1983-07-01,11.38
1970-01-01 00:00:00.000000493,1983-06-01,10.85
1970-01-01 00:00:00.000000494,1983-05-01,10.38
1970-01-01 00:00:00.000000495,1983-04-01,10.40
1970-01-01 00:00:00.000000496,1983-03-01,10.51
1970-01-01 00:00:00.000000497,1983-02-01,10.72
